rto_iter	test_point_no	variable_name	noise
0	0	obj	-2.590292e+00
0	0	feed_con1	0.000000e+00
0	0	feed_con2	0.000000e+00
0	0	purity_con	6.270573e-06
0	0	drain_con	-3.458686e-02
0	0	validity_con	-0.000000e+00
0	1	obj	1.360414e+00
0	1	feed_con1	-0.000000e+00
0	1	feed_con2	-0.000000e+00
0	1	purity_con	2.000000e-05
0	1	drain_con	2.000000e-01
0	1	validity_con	0.000000e+00
0	2	obj	-1.267495e+00
0	2	feed_con1	0.000000e+00
0	2	feed_con2	-0.000000e+00
0	2	purity_con	-3.248299e-07
0	2	drain_con	1.934180e-01
0	2	validity_con	-0.000000e+00
0	3	obj	7.934839e-01
0	3	feed_con1	0.000000e+00
0	3	feed_con2	0.000000e+00
0	3	purity_con	5.588783e-08
0	3	drain_con	1.374975e-01
0	3	validity_con	0.000000e+00
0	4	obj	4.842460e-01
0	4	feed_con1	0.000000e+00
0	4	feed_con2	-0.000000e+00
0	4	purity_con	1.397289e-05
0	4	drain_con	1.016552e-01
0	4	validity_con	-0.000000e+00
0	5	obj	1.310193e-01
0	5	feed_con1	-0.000000e+00
0	5	feed_con2	0.000000e+00
0	5	purity_con	-1.022121e-05
0	5	drain_con	1.568702e-01
0	5	validity_con	-0.000000e+00
1	0	obj	-2.655872e+00
1	0	feed_con1	-0.000000e+00
1	0	feed_con2	0.000000e+00
1	0	purity_con	-1.949329e-06
1	0	drain_con	-2.000000e-01
1	0	validity_con	0.000000e+00
1	1	obj	-2.854937e+00
1	1	feed_con1	-0.000000e+00
1	1	feed_con2	0.000000e+00
1	1	purity_con	4.812768e-06
1	1	drain_con	-1.254093e-01
1	1	validity_con	0.000000e+00
1	2	obj	-7.688579e-01
1	2	feed_con1	0.000000e+00
1	2	feed_con2	0.000000e+00
1	2	purity_con	-2.734222e-06
1	2	drain_con	7.178802e-02
1	2	validity_con	-0.000000e+00
1	3	obj	-6.566083e-01
1	3	feed_con1	0.000000e+00
1	3	feed_con2	0.000000e+00
1	3	purity_con	6.788615e-06
1	3	drain_con	9.452497e-02
1	3	validity_con	-0.000000e+00
1	4	obj	-1.772747e+00
1	4	feed_con1	-0.000000e+00
1	4	feed_con2	0.000000e+00
1	4	purity_con	8.394136e-06
1	4	drain_con	-5.952969e-02
1	4	validity_con	0.000000e+00
1	5	obj	-1.414845e+00
1	5	feed_con1	-0.000000e+00
1	5	feed_con2	-0.000000e+00
1	5	purity_con	-1.083798e-05
1	5	drain_con	1.040272e-02
1	5	validity_con	-0.000000e+00
2	0	obj	-2.174275e+00
2	0	feed_con1	0.000000e+00
2	0	feed_con2	-0.000000e+00
2	0	purity_con	7.725094e-06
2	0	drain_con	1.264362e-02
2	0	validity_con	0.000000e+00
2	1	obj	-1.845113e+00
2	1	feed_con1	-0.000000e+00
2	1	feed_con2	0.000000e+00
2	1	purity_con	-1.019266e-05
2	1	drain_con	-1.851518e-02
2	1	validity_con	0.000000e+00
2	2	obj	-4.000000e+00
2	2	feed_con1	-0.000000e+00
2	2	feed_con2	-0.000000e+00
2	2	purity_con	-1.358000e-05
2	2	drain_con	-9.374392e-02
2	2	validity_con	-0.000000e+00
2	3	obj	8.439954e-02
2	3	feed_con1	-0.000000e+00
2	3	feed_con2	0.000000e+00
2	3	purity_con	2.635503e-07
2	3	drain_con	-4.841992e-02
2	3	validity_con	-0.000000e+00
2	4	obj	-1.509546e+00
2	4	feed_con1	0.000000e+00
2	4	feed_con2	0.000000e+00
2	4	purity_con	-2.000000e-05
2	4	drain_con	-4.186166e-03
2	4	validity_con	-0.000000e+00
2	5	obj	-1.769998e+00
2	5	feed_con1	0.000000e+00
2	5	feed_con2	-0.000000e+00
2	5	purity_con	1.585089e-05
2	5	drain_con	5.467376e-02
2	5	validity_con	-0.000000e+00
3	0	obj	-3.546709e+00
3	0	feed_con1	0.000000e+00
3	0	feed_con2	0.000000e+00
3	0	purity_con	-1.474745e-05
3	0	drain_con	9.042962e-02
3	0	validity_con	-0.000000e+00
3	1	obj	1.578292e+00
3	1	feed_con1	-0.000000e+00
3	1	feed_con2	-0.000000e+00
3	1	purity_con	9.632531e-06
3	1	drain_con	-5.223956e-02
3	1	validity_con	-0.000000e+00
3	2	obj	-2.530820e+00
3	2	feed_con1	-0.000000e+00
3	2	feed_con2	0.000000e+00
3	2	purity_con	3.486379e-06
3	2	drain_con	-1.453386e-01
3	2	validity_con	-0.000000e+00
3	3	obj	1.667321e+00
3	3	feed_con1	-0.000000e+00
