RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.382663e+00	8.038964e+01
2	4.575887e+00	8.364218e+01
3	4.673730e+00	8.572117e+01
4	4.728865e+00	8.763871e+01
5	4.750720e+00	8.812118e+01
6	4.762621e+00	8.833848e+01
7	4.766381e+00	8.834960e+01
8	4.767509e+00	8.890288e+01
9	4.767166e+00	8.962263e+01
10	4.769314e+00	9.003800e+01
11	4.770207e+00	8.994249e+01
12	4.767818e+00	9.023528e+01
13	4.765843e+00	9.036699e+01
14	4.767924e+00	9.032656e+01
15	4.767486e+00	9.042783e+01
16	4.768915e+00	9.053472e+01
17	4.774596e+00	8.990819e+01
18	4.772789e+00	8.980477e+01
19	4.773349e+00	9.017880e+01
20	4.774633e+00	9.019370e+01
