RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.314520e+00	7.794361e+01
2	4.548959e+00	8.038367e+01
3	4.723605e+00	8.239324e+01
4	4.853623e+00	8.404074e+01
5	4.950357e+00	8.538677e+01
6	5.018055e+00	8.643389e+01
7	5.063964e+00	8.723161e+01
8	5.095404e+00	8.784470e+01
9	5.117112e+00	8.831904e+01
10	5.132207e+00	8.868788e+01
11	5.142769e+00	8.897584e+01
12	5.150205e+00	8.920137e+01
13	5.155470e+00	8.937845e+01
14	5.159219e+00	8.951777e+01
15	5.161903e+00	8.962758e+01
16	5.163836e+00	8.971425e+01
17	5.165236e+00	8.978272e+01
18	5.166256e+00	8.983689e+01
19	5.167003e+00	8.987976e+01
20	5.167553e+00	8.991372e+01
