RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.031841e+00	7.746780e+01
2	4.089535e+00	7.953108e+01
3	4.159514e+00	8.125353e+01
4	4.232433e+00	8.268671e+01
5	4.302591e+00	8.387413e+01
6	4.366926e+00	8.485353e+01
7	4.424101e+00	8.565794e+01
8	4.473832e+00	8.631620e+01
9	4.516427e+00	8.685323e+01
10	4.552498e+00	8.729030e+01
11	4.582781e+00	8.764536e+01
12	4.608035e+00	8.793342e+01
13	4.628986e+00	8.816690e+01
14	4.646293e+00	8.835602e+01
15	4.660542e+00	8.850914e+01
16	4.672241e+00	8.863309e+01
17	4.681824e+00	8.873342e+01
18	4.689660e+00	8.881462e+01
19	4.696057e+00	8.888034e+01
20	4.701273e+00	8.893354e+01
