RTO_iter	profit	XFr_A_unmodified	XFr_A	XFr_B_unmodified	XFr_B	XFr_E_unmodified	XFr_E	XFr_P_unmodified	XFr_P	XFr_G_unmodified	XFr_G	Ka1	Ka2	Kb1	Kb2	XFr_A_eps	Fb_XFr_A_lam	Tr_XFr_A_lam	XFr_B_eps	Fb_XFr_B_lam	Tr_XFr_B_lam	XFr_E_eps	Fb_XFr_E_lam	Tr_XFr_E_lam	XFr_P_eps	Fb_XFr_P_lam	Tr_XFr_P_lam	XFr_G_eps	Fb_XFr_G_lam	Tr_XFr_G_lam
0												2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	1.456398e-01	1.456398e-01	3.793878e-01	3.793878e-01	2.781069e-01	2.781069e-01	1.101474e-01	1.101474e-01	8.671814e-02	8.671814e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.421395e-03	9.274210e-03	4.451969e-04	1.184780e-02	1.508860e-02	-8.641797e-05	-2.085280e-02	-1.162878e-02	1.063230e-03	-3.752846e-03	-4.774124e-03	9.492509e-04	-2.002067e-02	-3.120796e-03	-1.252908e-03
2	-1.642540e+02	1.327822e-01	1.362683e-01	3.739795e-01	3.871792e-01	2.851565e-01	2.657292e-01	1.098264e-01	1.079282e-01	9.825550e-02	7.480902e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	3.512372e-03	8.704606e-03	4.443866e-04	1.323968e-02	1.432371e-02	-8.309552e-05	-1.945462e-02	-1.123820e-02	1.054964e-03	-1.879025e-03	-4.678041e-03	9.782418e-04	-2.354485e-02	-2.823178e-03	-1.352279e-03
3	-1.734212e+02	1.216693e-01	1.270153e-01	3.704458e-01	3.849384e-01	2.904406e-01	2.721473e-01	1.091083e-01	1.088807e-01	1.083360e-01	8.157893e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	5.366200e-03	8.128075e-03	4.336364e-04	1.452204e-02	1.353245e-02	-9.100677e-05	-1.831169e-02	-1.080875e-02	1.049286e-03	-2.141699e-04	-4.598284e-03	9.968121e-04	-2.682502e-02	-2.418271e-03	-1.416507e-03
4	-1.796170e+02	1.122885e-01	1.192168e-01	3.682750e-01	3.838797e-01	2.943400e-01	2.769872e-01	1.082067e-01	1.094284e-01	1.168898e-01	8.719575e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	6.946816e-03	7.580396e-03	4.167412e-04	1.562963e-02	1.277043e-02	-1.060749e-04	-1.736564e-02	-1.038006e-02	1.045632e-03	1.231538e-03	-4.533394e-03	1.006904e-03	-2.974307e-02	-1.969911e-03	-1.452265e-03
5	-1.837156e+02	1.045518e-01	1.127822e-01	3.670581e-01	3.835739e-01	2.971702e-01	2.805993e-01	1.072677e-01	1.097152e-01	1.239522e-01	9.175320e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	8.249408e-03	7.086071e-03	3.970031e-04	1.653978e-02	1.207597e-02	-1.247289e-04	-1.658074e-02	-9.979797e-03	1.043464e-03	2.455545e-03	-4.480857e-03	1.010857e-03	-3.223775e-02	-1.527124e-03	-1.467375e-03
6	-1.863705e+02	9.829849e-02	1.075728e-01	3.664795e-01	3.837167e-01	2.991947e-01	2.832689e-01	1.063823e-01	1.098421e-01	1.296450e-01	9.537705e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	9.294343e-03	6.657657e-03	3.769466e-04	1.726135e-02	1.146974e-02	-1.442178e-04	-1.593402e-02	-9.624173e-03	1.042329e-03	3.466887e-03	-4.438387e-03	1.010884e-03	-3.430169e-02	-1.121099e-03	-1.469158e-03
7	-1.880613e+02	9.332267e-02	1.034190e-01	3.663061e-01	3.841026e-01	3.006272e-01	2.852268e-01	1.055984e-01	1.098769e-01	1.341456e-01	9.820953e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.011665e-02	6.297684e-03	3.582119e-04	1.782050e-02	1.095754e-02	-1.627244e-04	-1.540771e-02	-9.319705e-03	1.041872e-03	4.285089e-03	-4.404163e-03	1.008747e-03	-3.596684e-02	-7.670693e-04	-1.463432e-03
8	-1.891260e+02	8.940702e-02	1.001433e-01	3.663743e-01	3.846001e-01	3.016341e-01	2.866552e-01	1.049333e-01	1.098631e-01	1.376513e-01	1.003934e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.075593e-02	6.001967e-03	3.416573e-04	1.824867e-02	1.053496e-02	-1.792619e-04	-1.498547e-02	-9.065990e-03	1.041838e-03	4.935988e-03	-4.376735e-03	1.005667e-03	-3.728617e-02	-4.687795e-04	-1.454243e-03
9	-1.897927e+02	8.634776e-02	9.757937e-02	3.665746e-01	3.851289e-01	3.023394e-01	2.876939e-01	1.043854e-01	1.098270e-01	1.403529e-01	1.020597e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.124965e-02	5.762838e-03	3.275730e-04	1.857534e-02	1.019213e-02	-1.934523e-04	-1.465138e-02	-8.858592e-03	1.042051e-03	5.447228e-03	-4.354903e-03	1.002391e-03	-3.831875e-02	-2.231780e-04	-1.444096e-03
