RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.515578e+00	7.971669e+01
2	4.762985e+00	8.270208e+01
3	4.886560e+00	8.457920e+01
4	4.946358e+00	8.570626e+01
5	4.975833e+00	8.637937e+01
6	4.991793e+00	8.679658e+01
7	4.997591e+00	8.700995e+01
8	5.002034e+00	8.715174e+01
9	5.006569e+00	8.726452e+01
10	5.011506e+00	8.735856e+01
11	5.012128e+00	8.739797e+01
12	5.011954e+00	8.741943e+01
13	5.015522e+00	8.747066e+01
14	5.016291e+00	8.749000e+01
15	5.017277e+00	8.750478e+01
16	5.016190e+00	8.750068e+01
17	5.014923e+00	8.749393e+01
18	5.012645e+00	8.745717e+01
19	5.013494e+00	8.745980e+01
20	5.015207e+00	8.747377e+01
