RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.868434e-01	1.000000e-01	2.000000e-01		-7.752530e+01	-3.276256e-02	-1.939656e+01	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	-7.676570e-01	2.000000e-01	1.000000e-01		-2.093185e+02	-3.054519e-06	-2.110756e+01	-2.093185e+01	-1.723139e+02	-2.110756e+02	4.861452e-02	1.733677e-08	1.005438e-01	3.972200e-01	2.776621e-01	9.595956e-02	1.286145e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.700460e+01	-5.378315e+01	3.822243e+01	-1.770116e+01	-4.861757e-02	-3.250966e-03	1.143992e-03	-1.710960e-03
3	-7.676572e-01	1.000000e-01	5.000000e-02				-2.164643e+01		-1.714033e+02	-2.164643e+02	4.815591e-02	1.802820e-08	1.435387e-01	3.614499e-01	2.730494e-01	9.380607e-02	1.281559e-01												
4	-1.157245e-01	5.000000e-02	2.500000e-02				-2.164642e+01		-1.714033e+02	-2.164643e+02	4.815592e-02	2.049957e-08	1.435387e-01	3.614499e-01	2.730494e-01	9.380607e-02	1.281559e-01												
5	4.197176e-01	2.500000e-02	2.500000e-02				-2.137740e+01		-1.779991e+02	-2.137740e+02	4.758186e-02	1.619193e-08	1.274997e-01	3.745093e-01	2.752910e-01	9.511819e-02	1.275819e-01												
6	-2.172421e+00	2.500000e-02	1.250000e-02		-2.107603e+02	2.327242e-04	-2.116446e+01	-2.102948e+01	-1.778082e+02	-2.116447e+02	4.780414e-02	2.224803e-08	1.144243e-01	3.853899e-01	2.766553e-01	9.572628e-02	1.278041e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.295206e+01	-4.810628e+01	3.845725e+01	-1.818716e+01	-4.757141e-02	-1.541698e-03	5.140646e-04	-1.752397e-03
7	-7.838995e-01	1.250000e-02	6.250000e-03				-2.106729e+01		-1.730905e+02	-2.106729e+02	4.863148e-02	1.831057e-08	1.015363e-01	3.959937e-01	2.778105e-01	9.602807e-02	1.286315e-01												
8	1.337602e-01	6.250000e-03	6.250000e-03				-2.104705e+01		-1.758226e+02	-2.104705e+02	4.811684e-02	1.758304e-08	1.075457e-01	3.912295e-01	2.772091e-01	9.589891e-02	1.281168e-01												
9	-3.396467e-02	6.250000e-03	3.125000e-03		-2.103341e+02	1.366249e-05	-2.103842e+01	-2.103068e+01	-1.770543e+02	-2.103842e+02	4.783302e-02	1.825317e-08	1.108922e-01	3.885842e-01	2.768677e-01	9.582285e-02	1.278330e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.327979e+01	-4.951004e+01	3.850403e+01	-1.809212e+01	-4.781936e-02	-1.953935e-03	6.787197e-04	-1.745175e-03
10	4.505495e-01	3.125000e-03	3.125000e-03				-2.103779e+01		-1.779746e+02	-2.103780e+02	4.759117e-02	1.755461e-08	1.141509e-01	3.860015e-01	2.765245e-01	9.573187e-02	1.275912e-01												
11	1.063317e+00	3.125000e-03	6.250000e-03		-2.103287e+02	3.008510e-06	-2.103421e+01	-2.103227e+01	-1.776075e+02	-2.103422e+02	4.768753e-02	1.615688e-08	1.125844e-01	3.872501e-01	2.766936e-01	9.578431e-02	1.276875e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.272123e+01	-4.883167e+01	3.853323e+01	-1.815669e+01	-4.768452e-02	-1.763123e-03	6.056245e-04	-1.749432e-03
12	-2.835853e+00	6.250000e-03	3.125000e-03		-2.103268e+02	6.799826e-08	-2.103264e+01	-2.103267e+01	-1.774049e+02	-2.103265e+02	4.774332e-02	1.827639e-08	1.128177e-01	3.870948e-01	2.766169e-01	9.572735e-02	1.277433e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.292188e+01	-4.877015e+01	3.854625e+01	-1.822628e+01	-4.774325e-02	-1.741944e-03	5.994078e-04	-1.750965e-03
13	-1.018690e+00	3.125000e-03	1.562500e-03				-2.103463e+01		-1.763469e+02	-2.103464e+02	4.800152e-02	1.734057e-08	1.095268e-01	3.897116e-01	2.769515e-01	9.580857e-02	1.280015e-01												
14	1.308091e-01	1.562500e-03	1.562500e-03				-2.103366e+01		-1.767948e+02	-2.103366e+02	4.790010e-02	1.710897e-08	1.110503e-01	3.885054e-01	2.767850e-01	9.575913e-02	1.279001e-01												
