RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.003824e+00	5.000000e-03	1.000000e-02		-7.752530e+01	-3.276256e-02	-1.939656e+01	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	1.007243e+00	1.000000e-02	2.000000e-02		-8.834613e+01	-3.107377e-02	-8.830491e+00	-8.834613e+00	-2.006333e+02	-8.830491e+01	5.168882e-03	-3.107169e-02	1.108440e-01	4.523206e-01	2.533707e-01	9.829573e-02	8.516888e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.122872e+02	-3.854701e+01	4.781081e+01	-1.811549e+01	-3.624265e-02	-3.739292e-03	1.675048e-03	-1.725606e-03
3	1.012418e+00	2.000000e-02	4.000000e-02		-1.089084e+02	-2.758953e-02	-1.087606e+01	-1.089084e+01	-2.021808e+02	-1.087606e+02	1.036901e-02	-2.758289e-02	1.098949e-01	4.447856e-01	2.567157e-01	9.823482e-02	9.036901e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	9.327234e+01	-4.105732e+01	4.708101e+01	-1.836861e+01	-3.795854e-02	-3.696121e-03	1.635980e-03	-1.742723e-03
4	1.010844e+00	4.000000e-02	8.000000e-02		-1.456497e+02	-2.019548e-02	-1.451991e+01	-1.456497e+01	-2.002421e+02	-1.451991e+02	2.120568e-02	-2.018276e-02	1.081285e-01	4.298117e-01	2.630595e-01	9.779453e-02	1.012057e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	5.459236e+01	-4.549378e+01	4.522066e+01	-1.873418e+01	-4.140116e-02	-3.541746e-03	1.519904e-03	-1.763713e-03
5	3.262502e-01	8.000000e-02	8.000000e-02		-2.011584e+02	-3.753719e-03	-2.005629e+01	-2.011584e+01	-1.773563e+02	-2.005629e+02	4.441704e-02	-3.816457e-03	1.049516e-01	4.004991e-01	2.744031e-01	9.572919e-02	1.244170e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.380209e+01	-5.183843e+01	3.988711e+01	-1.888288e+01	-4.817076e-02	-2.961135e-03	1.125727e-03	-1.750801e-03
6	5.734255e-02	8.000000e-02	8.000000e-02		-2.078540e+02	1.454519e-03	-2.127648e+01	-2.049450e+01	-1.717651e+02	-2.127649e+02	4.814606e-02	1.802076e-08	1.404189e-01	3.645211e-01	2.730862e-01	9.382777e-02	1.281461e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.608891e+01	3.873875e+01	3.759962e+01	-1.975858e+01	-4.669154e-02	-7.251403e-04	-5.162886e-04	-1.780236e-03
7	-5.573033e-01	8.000000e-02	4.000000e-02		-2.097304e+02	3.247439e-04	-2.770717e+01	-2.090809e+01	-1.676673e+02	-2.770718e+02	4.994032e-02	1.841969e-08	9.887882e-02	3.983722e-01	2.774148e-01	9.539394e-02	1.299403e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.206306e+01	-5.489045e+01	3.811560e+01	-1.821920e+01	-4.961558e-02	-3.471114e-03	1.229145e-03	-1.710695e-03
8	1.815853e-01	4.000000e-02	4.000000e-02				-2.166538e+01		-1.707975e+02	-2.166539e+02	4.870737e-02	1.685576e-08	1.404474e-01	3.637540e-01	2.733291e-01	9.376210e-02	1.287074e-01												
9	-2.474170e-01	4.000000e-02	2.000000e-02		-2.109538e+02	5.641084e-04	-2.131818e+01	-2.098256e+01	-1.754975e+02	-2.131818e+02	4.850122e-02	1.594356e-08	1.205744e-01	3.803036e-01	2.756363e-01	9.498443e-02	1.285012e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.545633e+01	-4.601777e+01	3.841892e+01	-1.899919e+01	-4.793711e-02	-9.404356e-04	2.814398e-04	-1.772189e-03
10	3.731348e-01	2.000000e-02	2.000000e-02				-2.123007e+01		-1.682318e+02	-2.123008e+02	4.996891e-02	1.833610e-08	9.947928e-02	3.975687e-01	2.775374e-01	9.544573e-02	1.299689e-01												
11	-1.292340e+00	2.000000e-02	1.000000e-02		-2.105146e+02	1.201237e-04	-2.110283e+01	-2.102744e+01	-1.735244e+02	-2.110284e+02	4.883799e-02	1.742806e-08	1.096797e-01	3.896323e-01	2.765307e-01	9.531933e-02	1.288380e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.699023e+01	-5.033121e+01	3.852574e+01	-1.864838e+01	-4.871787e-02	-2.124636e-03	7.599637e-04	-1.750702e-03
12	-2.213430e-01	1.000000e-02	5.000000e-03				-2.106037e+01		-1.761016e+02	-2.106038e+02	4.801789e-02	1.741498e-08	1.201761e-01	3.813891e-01	2.753930e-01	9.502387e-02	1.280179e-01												
13	3.784258e-01	5.000000e-03	5.000000e-03				-2.104402e+01		-1.755422e+02	-2.104402e+02	4.824981e-02	1.754661e-08	1.152157e-01	3.853513e-01	2.759554e-01	9.522777e-02	1.282498e-01												
14	-3.367400e-01	5.000000e-03	2.500000e-03		-2.103217e+02	8.342891e-06	-2.103555e+01	-2.103051e+01	-1.748487e+02	-2.103555e+02	4.843194e-02	1.754102e-08	1.125005e-01	3.875414e-01	2.762246e-01	9.530164e-02	1.284319e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.547308e+01	-4.916287e+01	3.861103e+01	-1.872973e+01	-4.842359e-02	-1.812803e-03	6.426648e-04	-1.758176e-03
15	3.001100e-01	2.500000e-03	2.500000e-03				-2.103287e+01		-1.744518e+02	-2.103287e+02	4.851958e-02	1.905418e-08	1.105169e-01	3.891211e-01	2.764548e-01	9.538756e-02	1.285196e-01												
16	8.534165e-02	2.500000e-03	2.500000e-03		-2.103103e+02	1.009056e-06	-2.103157e+01	-2.103083e+01	-1.746872e+02	-2.103158e+02	4.846523e-02	1.829423e-08	1.115360e-01	3.883155e-01	2.763367e-01	9.534659e-02	1.284652e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.562305e+01	-4.953681e+01	3.859663e+01	-1.866716e+01	-4.846422e-02	-1.918696e-03	6.825477e-04	-1.755340e-03
