RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.032729e+00	5.000000e-02	1.000000e-01		-7.752530e+01	-3.276256e-02	-1.467015e+01	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	3.497304e-01	1.000000e-01	1.000000e-01		-1.691410e+02	-1.434392e-02	-1.662375e+01	-1.691410e+01	-1.946515e+02	-1.662375e+02	2.956445e-02	-1.423688e-02	1.067562e-01	4.189253e-01	2.675170e-01	9.723704e-02	1.095645e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.551048e+01	-4.828501e+01	4.347390e+01	-1.883392e+01	-4.390838e-02	-3.385278e-03	1.404031e-03	-1.766249e-03
3	-1.280376e+00	1.000000e-01	5.000000e-02		-2.034032e+02	9.092703e-04	-2.151102e+01	-1.852178e+01	-1.538483e+02	-2.151106e+02	5.071106e-02	1.739698e-08	7.903999e-02	4.155080e-01	2.788742e-01	9.586674e-02	1.307111e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.955491e+01	-6.331592e+01	3.638284e+01	-1.630982e+01	-4.980179e-02	-6.706889e-03	2.147365e-03	-1.575708e-03
4	8.281664e-02	5.000000e-02	5.000000e-02				-2.292604e+01		-1.719377e+02	-2.292607e+02	5.108403e-02	1.819536e-08	1.331499e-01	3.646346e-01	2.765508e-01	9.458073e-02	1.310840e-01												
5	4.067491e-01	5.000000e-02	5.000000e-02		-2.123427e+02	1.227501e-03	-2.163092e+01	-1.877927e+01	-1.749304e+02	-2.163095e+02	4.921970e-02	1.745813e-08	1.062373e-01	3.900951e-01	2.783474e-01	9.610046e-02	1.292197e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.741232e+01	-5.129986e+01	3.787766e+01	-1.744266e+01	-4.799220e-02	-2.395753e-03	8.097369e-04	-1.721557e-03
6	-5.643648e-02	5.000000e-02	2.500000e-02		-2.093384e+02	5.780915e-04	-2.123383e+01	-1.977766e+01	-1.795267e+02	-2.123386e+02	4.669341e-02	1.736832e-08	1.306543e-01	3.725475e-01	2.748906e-01	9.521417e-02	1.266934e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.981172e+01	-4.185246e+01	3.816983e+01	-1.855400e+01	-4.611532e-02	4.299156e-05	-1.864183e-04	-1.767202e-03
7	6.841891e-01	2.500000e-02	2.500000e-02				-2.143501e+01		-1.721687e+02	-2.143504e+02	4.936021e-02	1.623852e-08	1.022151e-01	3.945284e-01	2.780109e-01	9.588540e-02	1.293602e-01												
8	-2.182526e-01	2.500000e-02	1.250000e-02		-2.105778e+02	1.758239e-04	-2.113471e+01	-2.070614e+01	-1.784464e+02	-2.113474e+02	4.756014e-02	1.623289e-08	1.161670e-01	3.841146e-01	2.764522e-01	9.570606e-02	1.275601e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.213143e+01	-4.740209e+01	3.848870e+01	-1.822868e+01	-4.738431e-02	-1.357601e-03	4.404276e-04	-1.755713e-03
9	6.466476e-01	1.250000e-02	1.250000e-02				-2.108990e+01		-1.735419e+02	-2.108995e+02	4.860133e-02	2.227592e-08	1.027023e-01	3.950005e-01	2.777086e-01	9.598718e-02	1.286013e-01												
