RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.868687e-01	1.000000e-01	2.000000e-01		-7.752530e+01	-3.276256e-02	3.259389e+01	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	-5.557179e+01	2.000000e-01	1.000000e-01		-2.093185e+02	-3.054519e-06	-2.110722e+01	-2.093185e+01	-1.723139e+02	-2.110756e+02	4.861452e-02	1.733677e-08	1.005438e-01	3.972200e-01	2.776621e-01	9.595956e-02	1.286145e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.700460e+01	-5.378315e+01	3.822243e+01	-1.770116e+01	-4.861757e-02	-3.250966e-03	1.143992e-03	-1.710960e-03
3	-5.557567e+01	1.000000e-01	5.000000e-02				-2.164607e+01		-1.714033e+02	-2.164643e+02	4.815591e-02	1.802820e-08	1.435387e-01	3.614499e-01	2.730494e-01	9.380607e-02	1.281559e-01												
4	-3.678542e+01	5.000000e-02	2.500000e-02				-2.164602e+01		-1.714033e+02	-2.164643e+02	4.815592e-02	2.049957e-08	1.435387e-01	3.614499e-01	2.730494e-01	9.380607e-02	1.281559e-01												
5	-1.942661e+01	2.500000e-02	1.250000e-02				-2.137708e+01		-1.779991e+02	-2.137740e+02	4.758186e-02	1.619193e-08	1.274997e-01	3.745093e-01	2.752910e-01	9.511819e-02	1.275819e-01												
6	-9.567519e+00	1.250000e-02	6.250000e-03				-2.116402e+01		-1.778082e+02	-2.116447e+02	4.780414e-02	2.224802e-08	1.144243e-01	3.853899e-01	2.766553e-01	9.572628e-02	1.278041e-01												
7	-4.351220e+00	6.250000e-03	3.125000e-03				-2.104993e+01		-1.758184e+02	-2.105028e+02	4.812593e-02	1.732227e-08	1.075357e-01	3.912175e-01	2.772197e-01	9.590119e-02	1.281259e-01												
8	-1.678361e+00	3.125000e-03	1.562500e-03				-2.099140e+01		-1.742635e+02	-2.099178e+02	4.834962e-02	1.901052e-08	1.040431e-01	3.942019e-01	2.774590e-01	9.594632e-02	1.283496e-01												
9	-3.302264e-01	1.562500e-03	7.812500e-04				-2.096188e+01		-1.733370e+02	-2.096224e+02	4.847831e-02	1.826148e-08	1.022931e-01	3.957056e-01	2.775660e-01	9.595692e-02	1.284783e-01												
