RTO_iter	rho	tr	tr_adjusted	event	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0														2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.007575e+00	1.000000e-02	2.000000e-02		-1.992171e+02	-1.992171e+02	3.669243e+01	3.669243e+01	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.672519e+01	-3.975314e-02	-9.831040e-02	-8.517159e-01
2	1.013284e+00	2.000000e-02	4.000000e-02		-2.016204e+02	-9.864561e+01	3.745405e+01	-2.539299e-02	1.103633e-01	4.485519e-01	2.550573e-01	9.827925e-02	8.774825e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.028148e+02	-3.982469e+01	4.746247e+01	-1.824713e+01	-3.748340e+01	-4.005881e-02	-9.803014e-02	-8.606113e-01
3	1.001403e+00	4.000000e-02	8.000000e-02		-2.013493e+02	-1.365123e+02	3.899036e+01	-6.501391e-03	1.085514e-01	4.335486e-01	2.615163e-01	9.794531e-02	9.843845e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	6.433616e+01	-4.445945e+01	4.573605e+01	-1.865826e+01	-3.901246e+01	-4.061689e-02	-9.748674e-02	-8.782641e-01
4	9.448925e-01	8.000000e-02	1.600000e-01		-1.959049e+02	-1.822087e+02	4.025958e+01	3.900335e-07	1.186542e-01	4.019873e-01	2.691980e-01	9.681822e-02	1.133423e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.363284e+01	-4.505945e+01	4.278129e+01	-1.898527e+01	-4.027036e+01	-4.139824e-02	-9.542991e-02	-8.926882e-01
5	8.612569e-01	1.600000e-01	1.600000e-01		-1.850243e+02	-2.060736e+02	4.044643e+01	4.026106e-07	1.328832e-01	3.743343e-01	2.736922e-01	9.572399e-02	1.233663e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.973766e+01	-4.081608e+01	3.898793e+01	-1.834183e+01	-4.044794e+01	-4.082610e-02	-9.095528e-02	-8.951595e-01
6	9.445819e-01	1.600000e-01	3.200000e-01		-1.854118e+02	-2.083149e+02	4.061787e+01	4.043738e-07	1.238760e-01	3.794720e-01	2.757942e-01	9.641672e-02	1.244411e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.241019e+01	-4.389559e+01	3.871543e+01	-1.754700e+01	-4.061864e+01	-3.905152e-02	-8.836123e-02	-8.973884e-01
7	9.272685e-01	3.200000e-01	6.400000e-01		-1.846926e+02	-2.093282e+02	4.071588e+01	4.060647e-07	1.207034e-01	3.807341e-01	2.767227e-01	9.662213e-02	1.252177e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.455209e+01	-4.501975e+01	3.844477e+01	-1.722099e+01	-4.071604e+01	-3.840426e-02	-8.725051e-02	-8.986026e-01
8	9.477635e-01	6.400000e-01	1.000000e+00	trust region too large	-1.844292e+02	-2.095980e+02	4.078277e+01	4.070307e-07	1.185978e-01	3.821098e-01	2.771132e-01	9.674532e-02	1.254338e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.514313e+01	-4.578852e+01	3.838825e+01	-1.707263e+01	-4.078282e+01	-3.811584e-02	-8.679886e-02	-8.993977e-01
9	9.792078e-01	1.000000e+00	1.000000e+00	trust region too large	-1.842199e+02	-2.096863e+02	4.083257e+01	4.076939e-07	1.174903e-01	3.829014e-01	2.772755e-01	9.679024e-02	1.255426e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.546051e+01	-4.620761e+01	3.837192e+01	-1.702034e+01	-4.083259e+01	-3.801941e-02	-8.667220e-02	-8.999655e-01
10	1.005780e+00	1.000000e+00	1.000000e+00	trust region too large	-1.840350e+02	-2.097309e+02	4.087376e+01	4.081893e-07	1.168884e-01	3.833577e-01	2.773386e-01	9.679636e-02	1.256189e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.569484e+01	-4.644745e+01	3.836913e+01	-1.701348e+01	-4.087377e+01	-3.801036e-02	-8.669581e-02	-9.004205e-01
11	1.018108e+00	1.000000e+00	1.000000e+00	trust region too large	-1.838615e+02	-2.097641e+02	4.091035e+01	4.085998e-07	1.165410e-01	3.836333e-01	2.773571e-01	9.678358e-02	1.256850e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.590273e+01	-4.659586e+01	3.837143e+01	-1.702759e+01	-4.091035e+01	-3.804162e-02	-8.678883e-02	-9.008164e-01
12	1.022557e+00	1.000000e+00	1.000000e+00	trust region too large	-1.836951e+02	-2.097933e+02	4.094424e+01	4.089648e-07	1.163193e-01	3.838167e-01	2.773553e-01	9.676207e-02	1.257467e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.609877e+01	-4.669897e+01	3.837543e+01	-1.705159e+01	-4.094425e+01	-3.809103e-02	-8.691280e-02	-9.011787e-01
13	1.024164e+00	1.000000e+00	1.000000e+00	trust region too large	-1.835337e+02	-2.098205e+02	4.097639e+01	4.093033e-07	1.161604e-01	3.839532e-01	2.773439e-01	9.673673e-02	1.258057e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.628743e+01	-4.677904e+01	3.838012e+01	-1.707990e+01	-4.097640e+01	-3.814828e-02	-8.704970e-02	-9.015200e-01
14	1.024782e+00	1.000000e+00	1.000000e+00	trust region too large	-1.833764e+02	-2.098462e+02	4.100727e+01	4.096245e-07	1.160336e-01	3.840654e-01	2.773283e-01	9.670993e-02	1.258627e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.647036e+01	-4.684701e+01	3.838506e+01	-1.710985e+01	-4.100727e+01	-3.820842e-02	-8.719089e-02	-9.018466e-01
15	1.025028e+00	1.000000e+00	1.000000e+00	trust region too large	-1.832228e+02	-2.098705e+02	4.103710e+01	4.099329e-07	1.159239e-01	3.841645e-01	2.773109e-01	9.668283e-02	1.259179e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.664827e+01	-4.690826e+01	3.839002e+01	-1.714018e+01	-4.103710e+01	-3.826909e-02	-8.733224e-02	-9.021614e-01
16	1.025120e+00	1.000000e+00	1.000000e+00	trust region too large	-1.830725e+02	-2.098935e+02	4.106601e+01	4.102309e-07	1.158240e-01	3.842558e-01	2.772928e-01	9.665595e-02	1.259714e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.682153e+01	-4.696544e+01	3.839492e+01	-1.717027e+01	-4.106602e+01	-3.832916e-02	-8.747179e-02	-9.024661e-01
17	1.025144e+00	1.000000e+00	1.000000e+00	trust region too large	-1.829254e+02	-2.099153e+02	4.109410e+01	4.105199e-07	1.157301e-01	3.843422e-01	2.772747e-01	9.662956e-02	1.260234e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.699038e+01	-4.701987e+01	3.839970e+01	-1.719985e+01	-4.109410e+01	-3.838812e-02	-8.760862e-02	-9.027619e-01
