RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-1.761264e+02	-1.157030e-02	1.631646e-01	4.042414e-01	2.381731e-01	9.627667e-02	6.842970e-02
3	-1.951356e+02	-5.016388e-03	1.509608e-01	3.996641e-01	2.479982e-01	9.900455e-02	7.498361e-02
4	-2.020372e+02	-1.448765e-03	1.444176e-01	3.975882e-01	2.530100e-01	1.003213e-01	7.855123e-02
5	-2.040539e+02	-3.652953e-04	1.407604e-01	3.987290e-01	2.546756e-01	1.007929e-01	7.963470e-02
6	-2.047026e+02	-1.614550e-04	1.390452e-01	4.001540e-01	2.550078e-01	1.008911e-01	7.983854e-02
7	-2.050844e+02	-1.234325e-04	1.383197e-01	4.010759e-01	2.549726e-01	1.008608e-01	7.987657e-02
8	-2.054085e+02	-1.093426e-04	1.379410e-01	4.017338e-01	2.548518e-01	1.007957e-01	7.989066e-02
9	-2.057055e+02	-9.953271e-05	1.376677e-01	4.022938e-01	2.547145e-01	1.007238e-01	7.990047e-02
10	-2.059813e+02	-9.122371e-05	1.374296e-01	4.028117e-01	2.545772e-01	1.006523e-01	7.990878e-02
11	-2.062382e+02	-8.384705e-05	1.372075e-01	4.033038e-01	2.544438e-01	1.005832e-01	7.991615e-02
12	-2.064779e+02	-7.720991e-05	1.369958e-01	4.037752e-01	2.543152e-01	1.005167e-01	7.992279e-02
13	-2.067018e+02	-7.120693e-05	1.367929e-01	4.042282e-01	2.541914e-01	1.004528e-01	7.992879e-02
14	-2.069110e+02	-6.576122e-05	1.365978e-01	4.046639e-01	2.540723e-01	1.003914e-01	7.993424e-02
15	-2.071068e+02	-6.080971e-05	1.364100e-01	4.050834e-01	2.539575e-01	1.003323e-01	7.993919e-02
16	-2.072900e+02	-5.629847e-05	1.362292e-01	4.054874e-01	2.538469e-01	1.002756e-01	7.994370e-02
17	-2.074618e+02	-5.218070e-05	1.360549e-01	4.058768e-01	2.537403e-01	1.002209e-01	7.994782e-02
18	-2.076227e+02	-4.841553e-05	1.358869e-01	4.062522e-01	2.536376e-01	1.001683e-01	7.995158e-02
19	-2.077738e+02	-4.496708e-05	1.357248e-01	4.066142e-01	2.535385e-01	1.001176e-01	7.995503e-02
20	-2.079155e+02	-4.180378e-05	1.355685e-01	4.069636e-01	2.534428e-01	1.000687e-01	7.995820e-02
21	-2.080487e+02	-3.889776e-05	1.354175e-01	4.073009e-01	2.533505e-01	1.000215e-01	7.996110e-02
22	-2.081738e+02	-3.620211e-05	1.352714e-01	4.076268e-01	2.532614e-01	9.997609e-02	7.996380e-02
23	-2.082914e+02	-3.374328e-05	1.351305e-01	4.079415e-01	2.531753e-01	9.993221e-02	7.996626e-02
24	-2.084021e+02	-3.147524e-05	1.349944e-01	4.082456e-01	2.530920e-01	9.988982e-02	7.996852e-02
25	-2.085062e+02	-2.938053e-05	1.348628e-01	4.085395e-01	2.530115e-01	9.984886e-02	7.997062e-02
26	-2.086043e+02	-2.744358e-05	1.347356e-01	4.088238e-01	2.529336e-01	9.980927e-02	7.997256e-02
