RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.032729e+00	5.000000e-02	1.000000e-01		-7.752530e+01	-3.276256e-02	-1.939656e+01	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	7.057652e-01	1.000000e-01	1.000000e-01		-1.691410e+02	-1.434392e-02	-1.662375e+01	-1.691410e+01	-1.946515e+02	-1.662375e+02	2.956445e-02	-1.423688e-02	1.067562e-01	4.189253e-01	2.675170e-01	9.723704e-02	1.095645e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.551048e+01	-4.828501e+01	4.347390e+01	-1.883392e+01	-4.390838e-02	-3.385278e-03	1.404031e-03	-1.766249e-03
3	1.762286e-01	1.000000e-01	1.000000e-01		-2.034032e+02	9.092703e-04	-2.151105e+01	-2.015847e+01	-1.538483e+02	-2.151106e+02	5.071106e-02	1.739698e-08	7.903999e-02	4.155080e-01	2.788742e-01	9.586674e-02	1.307111e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.955491e+01	-6.331592e+01	3.638284e+01	-1.630982e+01	-4.980179e-02	-6.706889e-03	2.147365e-03	-1.575708e-03
4	-3.487611e-01	1.000000e-01	5.000000e-02		-2.150881e+02	4.313067e-03	-2.292607e+01	-2.064620e+01	-1.719377e+02	-2.292607e+02	5.108403e-02	1.819535e-08	1.331499e-01	3.646346e-01	2.765508e-01	9.458073e-02	1.310840e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.315042e+01	-4.089098e+01	3.639102e+01	-1.835822e+01	-4.677096e-02	5.427071e-04	-4.966793e-04	-1.751020e-03
5	4.297410e-01	5.000000e-02	5.000000e-02				-2.216929e+01		-1.487010e+02	-2.216929e+02	5.383855e-02	1.623321e-08	7.839030e-02	4.122868e-01	2.800648e-01	9.541954e-02	1.338386e-01												
6	-6.489990e-01	5.000000e-02	2.500000e-02		-2.115011e+02	7.839136e-04	-2.145397e+01	-2.099333e+01	-1.737100e+02	-2.145397e+02	4.916849e-02	1.622945e-08	1.050558e-01	3.919861e-01	2.778972e-01	9.589243e-02	1.291685e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.779110e+01	-5.193089e+01	3.806557e+01	-1.774437e+01	-4.838457e-02	-2.597479e-03	9.009075e-04	-1.723948e-03
7	8.932865e-02	2.500000e-02	2.500000e-02				-2.126372e+01		-1.781882e+02	-2.126373e+02	4.713722e-02	1.620197e-08	1.305332e-01	3.725878e-01	2.747473e-01	9.499456e-02	1.271372e-01												
8	-1.391791e-01	2.500000e-02	1.250000e-02		-2.104476e+02	1.940300e-04	-2.113468e+01	-2.100596e+01	-1.791092e+02	-2.113468e+02	4.732435e-02	1.890206e-08	1.186562e-01	3.821425e-01	2.762123e-01	9.566470e-02	1.273244e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.133840e+01	-4.640909e+01	3.848155e+01	-1.827079e+01	-4.713032e-02	-1.095150e-03	3.308775e-04	-1.759250e-03
9	4.528200e-01	1.250000e-02	1.250000e-02				-2.111597e+01		-1.744840e+02	-2.111597e+02	4.847143e-02	1.742944e-08	1.047237e-01	3.932977e-01	2.775539e-01	9.595315e-02	1.284714e-01												
