RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-7.972840e+01	-3.242602e-02	1.294376e-01	4.922485e-01	2.145827e-01	9.143335e-02	4.757398e-02
3	-8.407544e+01	-3.175113e-02	1.292796e-01	4.906528e-01	2.155165e-01	9.167530e-02	4.824887e-02
4	-9.259000e+01	-3.038542e-02	1.289681e-01	4.874635e-01	2.173718e-01	9.214772e-02	4.961458e-02
5	-1.089246e+02	-2.758606e-02	1.283615e-01	4.810848e-01	2.210385e-01	9.304794e-02	5.241394e-02
6	-1.387906e+02	-2.171477e-02	1.272067e-01	4.683364e-01	2.281949e-01	9.466905e-02	5.828523e-02
7	-1.795042e+02	-1.160104e-02	1.329569e-01	4.397593e-01	2.387386e-01	9.656963e-02	6.839896e-02
8	-2.049054e+02	-1.435825e-03	1.481231e-01	4.026642e-01	2.474378e-01	9.753086e-02	7.856417e-02
9	-2.078914e+02	-7.748431e-04	1.396234e-01	4.087112e-01	2.497233e-01	9.845326e-02	7.922516e-02
10	-2.093428e+02	-1.609819e-04	1.366475e-01	4.100515e-01	2.508870e-01	9.883049e-02	7.983902e-02
11	-2.096761e+02	-4.696828e-05	1.346901e-01	4.116085e-01	2.513264e-01	9.901221e-02	7.995303e-02
12	-2.097835e+02	-1.634984e-05	1.336681e-01	4.125274e-01	2.515007e-01	9.908915e-02	7.998365e-02
13	-2.098292e+02	-8.743785e-06	1.331244e-01	4.130741e-01	2.515613e-01	9.911690e-02	7.999126e-02
14	-2.098590e+02	-6.558626e-06	1.328246e-01	4.134159e-01	2.515714e-01	9.912123e-02	7.999344e-02
15	-2.098839e+02	-5.721993e-06	1.326466e-01	4.136509e-01	2.515585e-01	9.911449e-02	7.999428e-02
16	-2.099065e+02	-5.255305e-06	1.325300e-01	4.138304e-01	2.515349e-01	9.910254e-02	7.999474e-02
17	-2.099278e+02	-4.905301e-06	1.324448e-01	4.139803e-01	2.515066e-01	9.908827e-02	7.999509e-02
