RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-8.834613e+01	-3.107377e-02	1.291236e-01	4.890642e-01	2.164426e-01	9.191257e-02	4.892623e-02
3	-1.089084e+02	-2.758953e-02	1.283612e-01	4.810923e-01	2.210350e-01	9.304733e-02	5.241047e-02
4	-1.456497e+02	-2.019548e-02	1.269247e-01	4.651660e-01	2.299434e-01	9.503684e-02	5.980452e-02
5	-1.875040e+02	-9.056650e-03	1.363970e-01	4.307557e-01	2.410185e-01	9.686148e-02	7.094335e-02
6	-2.060532e+02	-1.123727e-03	1.461024e-01	4.040032e-01	2.480017e-01	9.770877e-02	7.887627e-02
7	-2.084123e+02	-5.767073e-04	1.388040e-01	4.092569e-01	2.499325e-01	9.849184e-02	7.942329e-02
8	-2.095169e+02	-1.234205e-04	1.360362e-01	4.107661e-01	2.508890e-01	9.881896e-02	7.987658e-02
9	-2.097778e+02	-3.637308e-05	1.343095e-01	4.121742e-01	2.512595e-01	9.897521e-02	7.996363e-02
10	-2.098633e+02	-1.317299e-05	1.333988e-01	4.130048e-01	2.514087e-01	9.904206e-02	7.998683e-02
11	-2.099012e+02	-7.224171e-06	1.329097e-01	4.135005e-01	2.514611e-01	9.906629e-02	7.999278e-02
12	-2.099264e+02	-5.464074e-06	1.326366e-01	4.138129e-01	2.514696e-01	9.906995e-02	7.999454e-02
13	-2.099476e+02	-4.774494e-06	1.324730e-01	4.140292e-01	2.514576e-01	9.906373e-02	7.999523e-02
14	-2.099669e+02	-4.384975e-06	1.323650e-01	4.141949e-01	2.514360e-01	9.905280e-02	7.999562e-02
15	-2.099851e+02	-4.091853e-06	1.322859e-01	4.143335e-01	2.514101e-01	9.903973e-02	7.999591e-02
16	-2.100023e+02	-3.838419e-06	1.322219e-01	4.144569e-01	2.513823e-01	9.902578e-02	7.999616e-02
17	-2.100186e+02	-3.607266e-06	1.321663e-01	4.145712e-01	2.513541e-01	9.901159e-02	7.999639e-02
18	-2.100340e+02	-3.392178e-06	1.321155e-01	4.146794e-01	2.513260e-01	9.899747e-02	7.999661e-02
