RTO_iter	rho	tr	tr_adjusted	event	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0														2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.016865e+00	5.000000e-02	1.000000e-01		-1.992171e+02	-1.992171e+02	3.669243e+01	3.669243e+01	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.672519e+01	-3.975314e-02	-9.831040e-02	-8.517159e-01
2	9.373570e-01	1.000000e-01	2.000000e-01		-2.068114e+02	-1.481575e+02	3.836089e+01	3.671663e-07	1.225390e-01	4.166458e-01	2.626039e-01	9.784724e-02	1.003641e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	5.746269e+01	-4.113069e+01	4.584144e+01	-1.872511e+01	-3.838067e+01	-4.090174e-02	-9.538226e-02	-8.712752e-01
3	8.729349e-01	2.000000e-01	2.000000e-01		-1.940797e+02	-1.970350e+02	3.870498e+01	3.837389e-07	1.441689e-01	3.722860e-01	2.707237e-01	9.663208e-02	1.161893e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	3.191958e-02	-3.632260e+01	4.011319e+01	-1.756046e+01	-3.871017e+01	-3.956231e-02	-8.706655e-02	-8.759638e-01
4	9.440810e-01	2.000000e-01	4.000000e-01		-1.933023e+02	-2.040860e+02	3.900449e+01	3.870123e-07	1.308206e-01	3.765372e-01	2.752338e-01	9.772121e-02	1.196871e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-9.508220e+00	-4.050993e+01	3.902256e+01	-1.624229e+01	-3.900688e+01	-3.645129e-02	-8.242822e-02	-8.799093e-01
5	9.407865e-01	4.000000e-01	8.000000e-01		-1.910697e+02	-2.067045e+02	3.919187e+01	3.899585e-07	1.267348e-01	3.761568e-01	2.772178e-01	9.796805e-02	1.219225e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.541713e+01	-4.185809e+01	3.822110e+01	-1.572717e+01	-3.919238e+01	-3.537664e-02	-8.052376e-02	-8.822260e-01
6	9.794204e-01	8.000000e-01	1.000000e+00	trust region too large	-1.904391e+02	-2.074176e+02	3.932344e+01	3.918024e-07	1.234964e-01	3.778694e-01	2.779615e-01	9.813480e-02	1.225379e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.692334e+01	-4.300393e+01	3.808654e+01	-1.553944e+01	-3.932359e+01	-3.499357e-02	-7.992710e-02	-8.837778e-01
7	1.010937e+00	1.000000e+00	1.000000e+00	trust region too large	-1.900679e+02	-2.076743e+02	3.942294e+01	3.931089e-07	1.219811e-01	3.788603e-01	2.781907e-01	9.815909e-02	1.228088e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.760002e+01	-4.358122e+01	3.806873e+01	-1.551858e+01	-3.942301e+01	-3.496071e-02	-7.993109e-02	-8.849023e-01
8	1.023450e+00	1.000000e+00	1.000000e+00	trust region too large	-1.897782e+02	-2.078376e+02	3.950824e+01	3.941006e-07	1.212155e-01	3.794320e-01	2.782406e-01	9.812455e-02	1.229873e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.806127e+01	-4.390371e+01	3.807975e+01	-1.556004e+01	-3.950828e+01	-3.505226e-02	-8.015430e-02	-8.858422e-01
9	1.026647e+00	1.000000e+00	1.000000e+00	trust region too large	-1.895091e+02	-2.079785e+02	3.958647e+01	3.949522e-07	1.207729e-01	3.797888e-01	2.782288e-01	9.806680e-02	1.231427e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.847271e+01	-4.411387e+01	3.809552e+01	-1.562369e+01	-3.958651e+01	-3.518655e-02	-8.045263e-02	-8.866935e-01
