RTO_iter	rho	tr	tr_adjusted	event	base_cost	base_con	merit	base_merit	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0																		2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.080458e-01	5.000000e-01	5.000000e-01		-7.752530e+01	-3.276256e-02	-1.729593e+01	-7.752530e+00	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	-1.818113e+00	5.000000e-01	2.500000e-01		-2.057965e+02	5.201651e-04	-2.298305e+01	-2.005949e+01	-1.788898e+02	-2.298307e+02	4.551885e-02	1.823093e-08	9.386183e-02	4.004631e-01	2.813306e-01	9.882568e-02	1.255188e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.690674e+01	-5.464648e+01	3.719423e+01	-1.439446e+01	-4.499868e-02	-4.082093e-03	1.300135e-03	-1.635431e-03
3	-1.818112e+00	2.500000e-01	1.250000e-01				-2.245210e+01		-1.666855e+02	-2.245212e+02	4.793063e-02	1.813200e-08	1.609146e-01	3.453345e-01	2.723092e-01	9.351105e-02	1.279306e-01												
4	-1.691141e+00	1.250000e-01	6.250000e-02				-2.245210e+01		-1.666855e+02	-2.245212e+02	4.793063e-02	1.720232e-08	1.609146e-01	3.453345e-01	2.723092e-01	9.351105e-02	1.279306e-01												
5	-4.338564e-01	6.250000e-02	3.125000e-02				-2.215000e+01		-1.756390e+02	-2.215002e+02	4.586714e-02	1.731084e-08	1.562075e-01	3.490564e-01	2.738831e-01	9.498584e-02	1.258671e-01												
6	3.851159e-01	3.125000e-02	3.125000e-02				-2.146026e+01		-1.880476e+02	-2.146028e+02	4.404536e-02	1.613642e-08	1.299348e-01	3.705200e-01	2.778988e-01	9.760096e-02	1.240454e-01												
7	7.722088e-01	3.125000e-02	3.125000e-02		-2.084554e+02	4.246613e-04	-2.099788e+01	-2.042088e+01	-1.877949e+02	-2.099790e+02	4.395965e-02	1.821272e-08	1.125887e-01	3.850991e-01	2.797817e-01	9.857095e-02	1.239596e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.066045e+01	-4.706557e+01	3.781998e+01	-1.505157e+01	-4.353499e-02	-1.393091e-03	3.261461e-04	-1.691856e-03
8	-1.542011e+00	3.125000e-02	1.562500e-02		-2.083301e+02	6.102936e-05	-2.087555e+01	-2.077198e+01	-1.889863e+02	-2.087557e+02	4.346398e-02	1.733836e-08	1.211839e-01	3.793796e-01	2.780848e-01	9.788773e-02	1.234640e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.934383e+01	-4.405769e+01	3.808423e+01	-1.578925e+01	-4.340295e-02	-5.289390e-04	-1.148483e-05	-1.713196e-03
9	2.178204e-01	1.562500e-02	1.562500e-02				-2.096574e+01		-1.813120e+02	-2.096576e+02	4.587427e-02	1.755746e-08	1.012891e-01	3.947604e-01	2.800229e-01	9.805336e-02	1.258743e-01												
