RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0												2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.708017e-01	2.000000e-01	-1.992171e+02	-1.992171e+02	3.669243e+01	3.669243e+01	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.721747e+01	4.812895e+01	-1.797295e+01	-3.672519e+01	-3.977829e-02	-9.835753e-02	-8.517655e-01
2	8.891587e-01	4.000000e-01	-2.030424e+02	-1.790583e+02	3.709210e+01	3.669413e-07	1.513540e-01	3.784667e-01	2.660898e-01	9.752253e-02	1.065670e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.694865e+01	-3.337718e+01	4.259564e+01	-1.717474e+01	-3.710368e+01	-3.909581e-02	-8.551617e-02	-8.576355e-01
3	9.131782e-01	4.000000e-01	-1.991660e+02	-1.974780e+02	3.749366e+01	3.707011e-07	1.388233e-01	3.749700e-01	2.734687e-01	9.873257e-02	1.140054e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	4.058270e+00	-3.699918e+01	3.976110e+01	-1.533069e+01	-3.749871e+01	-3.471964e-02	-7.840240e-02	-8.630731e-01
4	9.463282e-01	8.000000e-01	-1.953932e+02	-2.027062e+02	3.779185e+01	3.746364e-07	1.320309e-01	3.733366e-01	2.772370e-01	9.922999e-02	1.181655e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-6.653276e+00	-3.904865e+01	3.823577e+01	-1.446376e+01	-3.779332e+01	-3.275194e-02	-7.509558e-02	-8.668386e-01
5	9.893499e-01	1.000000e+00	-1.939199e+02	-2.042034e+02	3.800215e+01	3.775925e-07	1.279869e-01	3.742955e-01	2.786201e-01	9.941626e-02	1.196813e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.016767e+01	-4.040310e+01	3.781574e+01	-1.420317e+01	-3.800252e+01	-3.217988e-02	-7.417385e-02	-8.693463e-01
6	1.028904e+00	1.000000e+00	-1.934064e+02	-2.047541e+02	3.816210e+01	3.796975e-07	1.259470e-01	3.754380e-01	2.789820e-01	9.942002e-02	1.202129e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.134064e+01	-4.117059e+01	3.777407e+01	-1.420641e+01	-3.816226e+01	-3.219711e-02	-7.426695e-02	-8.711740e-01
7	1.041796e+00	1.000000e+00	-1.930958e+02	-2.051233e+02	3.829937e+01	3.813021e-07	1.249863e-01	3.761259e-01	2.790240e-01	9.933608e-02	1.205277e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.203835e+01	-4.159059e+01	3.779935e+01	-1.429867e+01	-3.829949e+01	-3.240176e-02	-7.469102e-02	-8.727063e-01
8	1.044808e+00	1.000000e+00	-1.928173e+02	-2.054492e+02	3.842605e+01	3.826781e-07	1.244193e-01	3.765788e-01	2.789811e-01	9.922537e-02	1.207955e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.264506e+01	-4.187766e+01	3.783191e+01	-1.441395e+01	-3.842616e+01	-3.265168e-02	-7.519729e-02	-8.741064e-01
9	1.045634e+00	1.000000e+00	-1.925418e+02	-2.057503e+02	3.854622e+01	3.839474e-07	1.239783e-01	3.769480e-01	2.789180e-01	9.911066e-02	1.210450e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.322138e+01	-4.211919e+01	3.786390e+01	-1.453214e+01	-3.854631e+01	-3.290570e-02	-7.571210e-02	-8.754285e-01
10	1.045953e+00	1.000000e+00	-1.922647e+02	-2.060303e+02	3.866119e+01	3.851509e-07	1.235835e-01	3.772848e-01	2.788514e-01	9.899838e-02	1.212820e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.377785e+01	-4.234179e+01	3.789438e+01	-1.464788e+01	-3.866128e+01	-3.315322e-02	-7.621617e-02	-8.766902e-01
11	1.046155e+00	1.000000e+00	-1.919855e+02	-2.062912e+02	3.877153e+01	3.863023e-07	1.232124e-01	3.776041e-01	2.787854e-01	9.889005e-02	1.215080e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.431716e+01	-4.255309e+01	3.792328e+01	-1.475990e+01	-3.877160e+01	-3.339187e-02	-7.670497e-02	-8.778984e-01
12	1.046341e+00	1.000000e+00	-1.917049e+02	-2.065346e+02	3.887756e+01	3.874073e-07	1.228583e-01	3.779104e-01	2.787212e-01	9.878588e-02	1.217242e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.484045e+01	-4.275552e+01	3.795068e+01	-1.486803e+01	-3.887763e+01	-3.362141e-02	-7.717788e-02	-8.790574e-01
13	1.046539e+00	1.000000e+00	-1.914234e+02	-2.067618e+02	3.897955e+01	3.884691e-07	1.225188e-01	3.782054e-01	2.786589e-01	9.868578e-02	1.219311e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.534848e+01	-4.295006e+01	3.797666e+01	-1.497234e+01	-3.897961e+01	-3.384214e-02	-7.763523e-02	-8.801701e-01
14	1.046758e+00	1.000000e+00	-1.911417e+02	-2.069742e+02	3.907771e+01	3.894903e-07	1.221927e-01	3.784898e-01	2.785986e-01	9.858955e-02	1.221293e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.584188e+01	-4.313727e+01	3.800130e+01	-1.507299e+01	-3.907778e+01	-3.405448e-02	-7.807761e-02	-8.812394e-01
15	1.047001e+00	1.000000e+00	-1.908604e+02	-2.071728e+02	3.917226e+01	3.904732e-07	1.218789e-01	3.787644e-01	2.785402e-01	9.849698e-02	1.223194e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.632122e+01	-4.331758e+01	3.802471e+01	-1.517016e+01	-3.917232e+01	-3.425887e-02	-7.850565e-02	-8.822676e-01
16	1.047266e+00	1.000000e+00	-1.905799e+02	-2.073586e+02	3.926338e+01	3.914199e-07	1.215770e-01	3.790295e-01	2.784837e-01	9.840788e-02	1.225019e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.678702e+01	-4.349136e+01	3.804695e+01	-1.526400e+01	-3.926344e+01	-3.445572e-02	-7.891997e-02	-8.832569e-01
17	1.047555e+00	1.000000e+00	-1.903007e+02	-2.075326e+02	3.935125e+01	3.923322e-07	1.212863e-01	3.792856e-01	2.784289e-01	9.832207e-02	1.226771e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.723977e+01	-4.365892e+01	3.806810e+01	-1.535467e+01	-3.935130e+01	-3.464540e-02	-7.932114e-02	-8.842094e-01
18	1.047867e+00	1.000000e+00	-1.900232e+02	-2.076957e+02	3.943602e+01	3.932118e-07	1.210061e-01	3.795331e-01	2.783758e-01	9.823939e-02	1.228456e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.767996e+01	-4.382057e+01	3.808823e+01	-1.544230e+01	-3.943606e+01	-3.482828e-02	-7.970972e-02	-8.851271e-01
19	1.048202e+00	1.000000e+00	-1.897476e+02	-2.078487e+02	3.951784e+01	3.940604e-07	1.207360e-01	3.797724e-01	2.783244e-01	9.815967e-02	1.230076e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.810801e+01	-4.397659e+01	3.810740e+01	-1.552704e+01	-3.951788e+01	-3.500469e-02	-8.008622e-02	-8.860116e-01
20	1.048561e+00	1.000000e+00	-1.894743e+02	-2.079921e+02	3.959685e+01	3.948795e-07	1.204756e-01	3.800037e-01	2.782745e-01	9.808277e-02	1.231634e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.852435e+01	-4.412725e+01	3.812566e+01	-1.560902e+01	-3.959689e+01	-3.517495e-02	-8.045112e-02	-8.868646e-01
