RTO_iter	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0										2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.722328e+01	4.812623e+01	-1.797171e+01	-3.538834e-02	-3.752642e-03	1.690099e-03	-1.715440e-03
2	-1.788898e+02	-2.298307e+02	4.551884e-02	9.999112e-09	9.386183e-02	4.004631e-01	2.813306e-01	9.882568e-02	1.255188e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.690671e+01	-5.464651e+01	3.719420e+01	-1.439449e+01	-4.499868e-02	-4.082097e-03	1.300132e-03	-1.635435e-03
3	-1.666856e+02	-2.245212e+02	4.793065e-02	9.998471e-09	1.609143e-01	3.453348e-01	2.723092e-01	9.351106e-02	1.279306e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.773582e+01	3.089196e+01	3.453323e+01	-1.818403e+01	-4.319800e-02	-2.440842e-03	-1.665826e-03	-1.696320e-03
4	-1.023041e+02	-3.231684e+02	5.614321e-02	9.999513e-09	5.570520e-02	4.387095e-01	2.765487e-01	9.289330e-02	1.361432e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-8.570067e+01	-7.688940e+01	3.233298e+01	-1.561905e+01	-5.262403e-02	-1.169673e-02	3.232422e-03	-1.313365e-03
5	-1.418149e+02	-2.631072e+02	6.362369e-02	9.996977e-09	1.404109e-01	3.448814e-01	2.793057e-01	9.177829e-02	1.436237e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-8.250605e+01	3.780547e+01	3.128268e+01	-1.875125e+01	-4.947672e-02	-1.717907e-03	-1.269757e-03	-1.708539e-03
6	-6.366944e+01	-3.429225e+02	6.247314e-02	1.000023e-08	4.716657e-02	4.444179e-01	2.756223e-01	9.032011e-02	1.424731e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.186138e+02	-8.403202e+01	2.941525e+01	-1.542220e+01	-5.490476e-02	-1.355822e-02	3.516799e-03	-1.160223e-03
7	-1.324368e+02	-2.752383e+02	6.817093e-02	9.996640e-09	1.325962e-01	3.469128e-01	2.811403e-01	9.117982e-02	1.481709e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-9.688574e+01	4.090705e+01	3.064476e+01	-1.900918e+01	-5.167962e-02	-1.234262e-03	-1.009884e-03	-1.706164e-03
8	-4.905495e+01	-3.513230e+02	6.487974e-02	1.000020e-08	4.452331e-02	4.458886e-01	2.753344e-01	8.937395e-02	1.448797e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.310214e+02	-8.645817e+01	2.831378e+01	-1.528992e+01	-5.566105e-02	-1.413823e-02	3.593633e-03	-1.104551e-03
9	-1.290037e+02	-2.795969e+02	6.966509e-02	9.987855e-09	1.299814e-01	3.476764e-01	2.817103e-01	9.096680e-02	1.496651e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.018194e+02	4.199150e+01	3.043455e+01	-1.909157e+01	-5.241578e-02	-1.055635e-03	-9.184965e-04	-1.703684e-03
10	-4.413755e+01	-3.541778e+02	6.568336e-02	1.000014e-08	4.368777e-02	4.463318e-01	2.752388e-01	8.905829e-02	1.456834e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.351682e+02	-8.724436e+01	2.794469e+01	-1.524016e+01	-5.590329e-02	-1.432139e-02	3.616745e-03	-1.086102e-03
11	-1.278576e+02	-2.810464e+02	7.014656e-02	9.983709e-09	1.291373e-01	3.479295e-01	2.818903e-01	9.089631e-02	1.501466e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.034321e+02	4.234662e+01	3.036617e+01	-1.911736e+01	-5.265357e-02	-9.962509e-04	-8.886296e-04	-1.702665e-03
12	-4.256896e+01	-3.551006e+02	6.593980e-02	1.000011e-08	4.342664e-02	4.464668e-01	2.752089e-01	8.895784e-02	1.459398e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.364891e+02	-8.749207e+01	2.782699e+01	-1.522371e+01	-5.597949e-02	-1.437857e-02	3.623844e-03	-1.080247e-03
13	-1.274931e+02	-2.815077e+02	7.029792e-02	9.981731e-09	1.288716e-01	3.480100e-01	2.819465e-01	9.087396e-02	1.502979e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.039415e+02	4.245891e+01	3.034462e+01	-1.912542e+01	-5.272842e-02	-9.773768e-04	-8.791876e-04	-1.702324e-03
14	-4.207625e+01	-3.553914e+02	6.602036e-02	1.000011e-08	4.334514e-02	4.465087e-01	2.751995e-01	8.892631e-02	1.460204e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.369038e+02	-8.756957e+01	2.779002e+01	-1.521849e+01	-5.600332e-02	-1.439640e-02	3.626047e-03	-1.078411e-03
15	-1.273787e+02	-2.816525e+02	7.034525e-02	9.981009e-09	1.287885e-01	3.480352e-01	2.819641e-01	9.086695e-02	1.503453e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041010e+02	4.249409e+01	3.033788e+01	-1.912794e+01	-5.275183e-02	-9.714552e-04	-8.762302e-04	-1.702215e-03
16	-4.192225e+01	-3.554824e+02	6.604554e-02	1.000010e-08	4.331972e-02	4.465217e-01	2.751966e-01	8.891646e-02	1.460455e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370334e+02	-8.759376e+01	2.777846e+01	-1.521686e+01	-5.601076e-02	-1.440197e-02	3.626733e-03	-1.077838e-03
17	-1.273430e+02	-2.816978e+02	7.036002e-02	9.980771e-09	1.287625e-01	3.480431e-01	2.819695e-01	9.086476e-02	1.503600e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041509e+02	4.250507e+01	3.033578e+01	-1.912872e+01	-5.275914e-02	-9.696050e-04	-8.753067e-04	-1.702181e-03
