RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.253057e+00	8.111416e+01
2	4.476204e+00	8.519909e+01
3	4.619955e+00	8.751003e+01
4	4.697592e+00	8.863589e+01
5	4.736733e+00	8.914482e+01
6	4.756110e+00	8.936924e+01
7	4.765702e+00	8.946809e+01
8	4.770478e+00	8.951205e+01
9	4.772870e+00	8.953189e+01
10	4.774076e+00	8.954099e+01
11	4.774687e+00	8.954523e+01
12	4.774998e+00	8.954724e+01
13	4.775156e+00	8.954821e+01
14	4.775237e+00	8.954868e+01
15	4.775279e+00	8.954891e+01
16	4.775300e+00	8.954903e+01
17	4.775311e+00	8.954909e+01
18	4.775317e+00	8.954912e+01
19	4.775320e+00	8.954913e+01
20	4.775321e+00	8.954914e+01
