RTO_iter	profit	XFr_A_unmodified	XFr_A	XFr_B_unmodified	XFr_B	XFr_E_unmodified	XFr_E	XFr_P_unmodified	XFr_P	XFr_G_unmodified	XFr_G	Ka1	Ka2	Kb1	Kb2	XFr_A_eps	Fb_XFr_A_lam	Tr_XFr_A_lam	XFr_B_eps	Fb_XFr_B_lam	Tr_XFr_B_lam	XFr_E_eps	Fb_XFr_E_lam	Tr_XFr_E_lam	XFr_P_eps	Fb_XFr_P_lam	Tr_XFr_P_lam	XFr_G_eps	Fb_XFr_G_lam	Tr_XFr_G_lam
0												2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	1.456398e-01	1.456398e-01	3.793878e-01	3.793878e-01	2.781069e-01	2.781069e-01	1.101474e-01	1.101474e-01	8.671814e-02	8.671814e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.421395e-03	9.539632e-03	4.441721e-04	1.184780e-02	1.546260e-02	-8.823297e-05	-2.085280e-02	-1.184593e-02	1.064810e-03	-3.752846e-03	-4.778186e-03	9.438519e-04	-2.002067e-02	-3.434337e-03	-1.234340e-03
2	-1.771145e+02	1.150169e-01	1.215681e-01	3.669645e-01	3.821858e-01	2.939121e-01	2.765721e-01	1.083809e-01	1.091897e-01	1.157256e-01	8.728886e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	6.422731e-03	8.063718e-03	4.257913e-04	1.507779e-02	1.344582e-02	-9.793679e-05	-1.731012e-02	-1.076421e-02	1.047456e-03	1.029926e-03	-4.531267e-03	1.003147e-03	-2.905495e-02	-2.552515e-03	-1.438257e-03
3	-1.873934e+02	9.507294e-02	1.050344e-01	3.649584e-01	3.826365e-01	3.005934e-01	2.851601e-01	1.057574e-01	1.098740e-01	1.336179e-01	9.811813e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	9.784123e-03	6.699715e-03	3.712247e-04	1.746100e-02	1.152369e-02	-1.503595e-04	-1.535376e-02	-9.647951e-03	1.043168e-03	4.164632e-03	-4.396935e-03	1.011283e-03	-3.552453e-02	-1.281120e-03	-1.469096e-03
4	-1.901614e+02	8.436998e-02	9.597508e-02	3.659741e-01	3.847442e-01	3.030110e-01	2.886811e-01	1.039358e-01	1.098054e-01	1.427091e-01	1.036054e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.154083e-02	5.839216e-03	3.255526e-04	1.868839e-02	1.029494e-02	-1.966328e-04	-1.429513e-02	-8.911441e-03	1.044371e-03	5.877555e-03	-4.326734e-03	1.003658e-03	-3.907536e-02	-3.869584e-04	-1.444418e-03
5	-1.907668e+02	7.928519e-02	9.164588e-02	3.672504e-01	3.865167e-01	3.037788e-01	2.899676e-01	1.029913e-01	1.096629e-01	1.466943e-01	1.059627e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.235430e-02	5.392960e-03	2.993724e-04	1.925663e-02	9.653704e-03	-2.238244e-04	-1.380467e-02	-8.521489e-03	1.046394e-03	6.675800e-03	-4.292919e-03	9.970689e-04	-4.073441e-02	9.652227e-05	-1.421616e-03
6	-1.909096e+02	7.696863e-02	8.968637e-02	3.681660e-01	3.876866e-01	3.039944e-01	2.903887e-01	1.025604e-01	1.095756e-01	1.483106e-01	1.068564e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.272257e-02	5.177372e-03	2.864576e-04	1.952579e-02	9.343272e-03	-2.375157e-04	-1.360644e-02	-8.331800e-03	1.047947e-03	7.017847e-03	-4.277910e-03	9.936351e-04	-4.146320e-02	3.360300e-04	-1.408985e-03
7	-1.909517e+02	7.591638e-02	8.880356e-02	3.687299e-01	3.883834e-01	3.040399e-01	2.905072e-01	1.023730e-01	1.095309e-01	1.489409e-01	1.071680e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.289134e-02	5.074680e-03	2.803978e-04	1.965843e-02	9.195400e-03	-2.440693e-04	-1.353418e-02	-8.241439e-03	1.048934e-03	7.159311e-03	-4.271539e-03	9.921031e-04	-4.177920e-02	4.524595e-04	-1.402908e-03
8	-1.909664e+02	7.543322e-02	8.840096e-02	3.690550e-01	3.887775e-01	3.040387e-01	2.905292e-01	1.022925e-01	1.095089e-01	1.491805e-01	1.072670e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.297014e-02	5.025495e-03	2.775822e-04	1.972542e-02	9.124637e-03	-2.471746e-04	-1.351056e-02	-8.198283e-03	1.049513e-03	7.217057e-03	-4.268887e-03	9.914586e-04	-4.191701e-02	5.092362e-04	-1.400106e-03
9	-1.909722e+02	7.520800e-02	8.821434e-02	3.692360e-01	3.889942e-01	3.040287e-01	2.905251e-01	1.022579e-01	1.094981e-01	1.492694e-01	1.072933e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.300759e-02	5.001679e-03	2.762661e-04	1.975966e-02	9.090412e-03	-2.486534e-04	-1.350415e-02	-8.177466e-03	1.049839e-03	7.240562e-03	-4.267789e-03	9.911935e-04	-4.197790e-02	5.371684e-04	-1.398822e-03
