RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.051884e+00	7.994731e+01
2	4.205682e+00	8.311239e+01
3	4.349737e+00	8.514828e+01
4	4.456903e+00	8.644694e+01
5	4.530195e+00	8.726538e+01
6	4.578374e+00	8.777670e+01
7	4.609356e+00	8.809463e+01
8	4.629018e+00	8.829190e+01
9	4.641393e+00	8.841422e+01
10	4.649140e+00	8.849005e+01
11	4.653974e+00	8.853706e+01
12	4.656984e+00	8.856621e+01
13	4.658856e+00	8.858429e+01
14	4.660018e+00	8.859550e+01
15	4.660740e+00	8.860246e+01
16	4.661188e+00	8.860677e+01
17	4.661466e+00	8.860945e+01
18	4.661639e+00	8.861111e+01
19	4.661746e+00	8.861214e+01
20	4.661812e+00	8.861278e+01
