RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.943559e+00	8.383084e+01
2	5.153779e+00	8.799568e+01
3	5.163568e+00	8.926813e+01
4	5.166897e+00	8.974637e+01
5	5.168297e+00	8.992953e+01
6	5.168863e+00	9.000002e+01
7	5.169086e+00	9.002718e+01
8	5.169172e+00	9.003766e+01
9	5.169206e+00	9.004170e+01
10	5.169219e+00	9.004326e+01
11	5.169224e+00	9.004386e+01
12	5.169226e+00	9.004409e+01
13	5.169226e+00	9.004418e+01
14	5.169227e+00	9.004422e+01
15	5.169227e+00	9.004423e+01
16	5.169227e+00	9.004423e+01
17	5.169227e+00	9.004424e+01
18	5.169227e+00	9.004424e+01
19	5.169227e+00	9.004424e+01
20	5.169227e+00	9.004424e+01
